protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
L2TP,4.30056619644165,68.1,62.4,81.0,6.499307655435308,0.0,6.173684210526315,,0.15448808670043945,0.2,45.78,0.6,45.81
PPTP,3.1674892902374268,70.67,62.5,97.6,8.959135002889509,0.0,9.805263157894734,,0.24223542213439941,0.4,45.78,0.2,45.78
L2TP,4.031064033508301,74.61999999999999,62.5,98.6,10.725092074196844,0.0,10.499999999999998,,0.13389348983764648,0.2,45.83,0.2,45.81
PPTP,3.1547083854675293,86.37,62.4,220.0,38.542925420886256,0.0,28.394736842105264,,0.18770194053649902,0.2,45.83,0.3,45.83
L2TP,3.813189744949341,87.33999999999999,64.4,145.0,24.345213081836025,0.0,26.28421052631579,,0.15069794654846191,0.4,45.83,0.2,45.83
PPTP,4.611673831939697,80.495,62.5,156.0,22.603903976968226,0.0,24.042105263157893,,0.14392328262329102,0.2,45.86,0.2,45.86
L2TP,4.907735347747803,89.22999999999999,62.5,246.0,40.4778717325899,0.0,34.88421052631579,,0.14899969100952148,0.2,45.88,0.4,45.88
PPTP,4.603767395019531,69.81,60.8,84.0,7.278248415656064,0.0,7.852631578947368,,0.1297593116760254,1.0,45.91,0.0,45.91
L2TP,4.2134833335876465,93.345,61.8,234.0,42.868047249670695,0.0,34.852631578947374,,0.12910771369934082,0.0,45.88,0.4,45.91
PPTP,4.111756086349487,71.26,62.5,110.0,12.571889277272529,0.0,13.578947368421053,,0.16238665580749512,0.4,45.91,0.2,45.91
L2TP,3.1134464740753174,74.45500000000001,61.7,124.0,14.834772495727732,0.0,15.53157894736842,,0.13790154457092285,0.2,45.91,0.0,45.91
PPTP,3.59045672416687,80.535,62.4,147.0,21.384931026309157,0.0,23.142105263157898,,0.16042017936706543,0.2,45.93,0.5,45.96
L2TP,3.404409408569336,77.09,63.5,113.0,12.177434048271417,0.0,9.921052631578949,,0.15647435188293457,0.4,45.91,0.2,45.88
PPTP,3.088613748550415,65.57,61.0,84.9,5.97520710938123,0.0,6.3315789473684205,,0.13496708869934082,3.8,46.32,3.2,46.32
L2TP,4.139612436294556,65.45000000000002,60.9,81.7,5.1017153977853384,0.0,5.378947368421054,,0.12717676162719727,3.0,46.32,3.8,46.34
PPTP,3.8290374279022217,66.03500000000001,61.5,81.1,4.892471256941628,0.0,5.136842105263157,,0.12642955780029297,11.3,46.75,0.8,46.44
L2TP,4.347469091415405,66.28,61.8,80.1,5.5844963962742415,0.0,4.073684210526316,,0.13305044174194336,3.2,46.29,2.9,46.27
PPTP,3.244187116622925,66.03000000000002,60.8,80.1,4.637790422173041,0.0,5.1947368421052635,,0.12916827201843262,2.8,46.29,3.3,46.29
L2TP,4.142522573471069,66.095,62.3,76.1,4.022496115597876,0.0,4.6684210526315795,,0.13463258743286133,2.7,46.32,3.4,46.32
PPTP,3.867638349533081,66.815,61.5,79.1,5.4891962070962625,0.0,5.38421052631579,,0.12745118141174316,3.3,46.37,2.8,46.34
L2TP,4.436627149581909,65.35499999999999,61.5,91.8,6.970328184526177,0.0,3.9315789473684233,,0.14229202270507812,3.3,46.37,3.9,46.37
PPTP,4.012116432189941,65.845,61.5,83.3,5.391055091538204,0.0,5.221052631578948,,0.12730717658996582,3.0,46.39,2.6,46.39
L2TP,4.176370143890381,69.655,62.5,89.3,7.9313602238203735,0.0,8.578947368421053,,0.13022899627685547,3.5,46.42,3.5,46.42
PPTP,4.299502611160278,65.215,60.9,76.2,3.8100229658100484,0.0,3.363157894736841,,0.12623143196105957,3.4,46.47,3.2,46.47
L2TP,4.749091148376465,67.965,60.7,82.0,5.753718362937135,0.0,7.536842105263157,,0.13597488403320312,1.9,46.49,2.4,46.49
PPTP,3.0971291065216064,65.935,61.5,82.0,5.542136320950613,0.0,4.736842105263159,,0.13703560829162598,2.1,46.34,2.8,46.34
L2TP,4.197490930557251,63.81,61.0,71.0,2.4608738285414,0.0,2.342105263157896,,0.12819194793701172,2.8,46.39,2.4,46.37
PPTP,4.223730564117432,65.59,60.9,75.2,3.729865949333837,0.0,4.4368421052631595,,0.13811492919921875,3.5,46.42,2.6,46.42
L2TP,4.74103856086731,71.58500000000001,62.5,94.7,9.031238840823557,0.0,9.342105263157896,,0.1369304656982422,2.4,46.44,2.9,46.44
PPTP,3.765395402908325,65.66,60.6,81.1,5.082263275352821,0.0,3.910526315789474,,0.12787961959838867,2.7,46.37,4.4,46.37
L2TP,3.7769205570220947,66.36500000000001,61.5,84.0,5.415096952040656,0.0,5.626315789473684,,0.1363673210144043,2.8,46.39,3.5,46.39
PPTP,4.216027498245239,66.29499999999999,60.8,87.8,6.14316490092851,0.0,6.1263157894736855,,0.1301422119140625,3.3,46.39,3.5,46.39
L2TP,3.7608695030212402,65.915,60.9,87.9,6.846405991467349,0.0,3.331578947368423,,0.12912631034851074,3.2,46.39,3.2,46.37
PPTP,3.5299718379974365,65.47,61.5,80.0,4.3259796578347425,0.0,4.378947368421052,,0.13303709030151367,3.0,46.6,3.6,46.6
L2TP,3.224324941635132,66.38500000000002,61.4,82.0,6.179666253124032,0.0,6.4789473684210535,,0.13159894943237305,3.3,46.62,2.9,46.65
PPTP,3.929903984069824,66.14000000000001,61.5,85.9,6.5364669355853104,0.0,6.305263157894739,,0.13903260231018066,3.7,46.67,3.6,46.67
L2TP,3.2719674110412598,69.01500000000001,61.5,88.9,7.5482630452310016,0.0,6.6947368421052635,,0.1370697021484375,2.5,46.72,3.0,46.72
PPTP,4.4305925369262695,66.17000000000002,60.8,77.2,5.277035152431715,0.0,5.842105263157896,,0.1349332332611084,2.0,46.75,1.7,46.75
L2TP,4.0723466873168945,68.74000000000001,61.5,113.0,11.32499006622081,0.0,8.54736842105263,,0.14673495292663574,3.2,46.75,2.8,46.75
PPTP,4.517240285873413,66.035,60.9,93.1,6.953364293635132,0.0,5.710526315789475,,0.12715744972229004,2.6,46.57,2.3,46.57
L2TP,3.3352479934692383,67.19,61.5,81.1,5.150135920536465,0.0,5.457894736842103,,0.14963054656982422,3.3,46.6,3.6,46.6
